Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	842	1	0	0
Organisms_order_>AT_>Cc_>So	844	0	1	0
Organisms_order_>AT_>Cc_>So	845	6	2	2
Organisms_order_>AT_>Cc_>So	847	0	1	0
Organisms_order_>AT_>Cc_>So	849	0	0	1
Organisms_order_>AT_>Cc_>So	850	1	1	1
Organisms_order_>AT_>Cc_>So	851	0	0	1
Organisms_order_>AT_>Cc_>So	852	2	1	1
Organisms_order_>AT_>Cc_>So	855	2	0	2
Organisms_order_>AT_>Cc_>So	858	0	0	1
Organisms_order_>AT_>Cc_>So	861	0	1	0
Organisms_order_>AT_>Cc_>So	862	1	1	0
Organisms_order_>AT_>Cc_>So	866	0	1	0
Organisms_order_>AT_>Cc_>So	868	0	1	0
Organisms_order_>AT_>Cc_>So	869	0	2	0
Organisms_order_>AT_>Cc_>So	872	1	0	0
Organisms_order_>AT_>Cc_>So	873	2	1	1
Organisms_order_>AT_>Cc_>So	880	2	1	1
Organisms_order_>AT_>Cc_>So	881	0	1	0
Organisms_order_>AT_>Cc_>So	885	1	1	2
Organisms_order_>AT_>Cc_>So	891	1	0	0
Organisms_order_>AT_>Cc_>So	893	1	1	1
Organisms_order_>AT_>Cc_>So	894	3	1	2
Organisms_order_>AT_>Cc_>So	905	0	0	1
Organisms_order_>AT_>Cc_>So	908	0	0	1
Organisms_order_>AT_>Cc_>So	910	0	1	0
Organisms_order_>AT_>Cc_>So	914	4	0	0
Organisms_order_>AT_>Cc_>So	918	0	2	0
Organisms_order_>AT_>Cc_>So	919	1	0	0
Organisms_order_>AT_>Cc_>So	922	0	0	1
Organisms_order_>AT_>Cc_>So	927	2	0	0
Organisms_order_>AT_>Cc_>So	932	0	1	0
Organisms_order_>AT_>Cc_>So	939	1	1	2
Organisms_order_>AT_>Cc_>So	941	0	0	1
Organisms_order_>AT_>Cc_>So	945	0	1	0
Organisms_order_>AT_>Cc_>So	950	1	1	1
Organisms_order_>AT_>Cc_>So	955	0	0	1
Organisms_order_>AT_>Cc_>So	961	3	1	4
Organisms_order_>AT_>Cc_>So	963	0	0	1
Organisms_order_>AT_>Cc_>So	964	2	1	1
Organisms_order_>AT_>Cc_>So	966	1	1	0
Organisms_order_>AT_>Cc_>So	967	1	0	0
Organisms_order_>AT_>Cc_>So	970	7	2	3
Organisms_order_>AT_>Cc_>So	971	0	1	0
Organisms_order_>AT_>Cc_>So	972	2	1	1
Organisms_order_>AT_>Cc_>So	978	1	0	0
Organisms_order_>AT_>Cc_>So	979	3	0	0
Organisms_order_>AT_>Cc_>So	982	1	0	0
Organisms_order_>AT_>Cc_>So	984	1	0	0
Organisms_order_>AT_>Cc_>So	985	4	1	1
Organisms_order_>AT_>Cc_>So	989	0	1	0
